1445171925 timestamp;capacitance;temperature;light
1452586521 ;311;187;9931
1452586579 ;313;187;9881
1452586637 ;313;187;11030
1452586694 ;312;187;10283
1452586751 ;313;187;9542
1452586809 ;312;187;8930
1452586867 ;312;187;7720
1452586924 ;313;187;7063
1452586982 ;313;187;6895
1452587040 ;312;187;7277
1452587097 ;312;187;7813
1452587155 ;313;187;8138
1452587213 ;311;187;8260
1452587270 ;312;187;7737
1452587328 ;312;187;7851
1452587385 ;314;187;8057
1452587443 ;312;187;8270
1452587501 ;314;187;7863
1452587558 ;312;186;7613
1452587616 ;313;187;7229
1452587674 ;312;187;6826
1452587731 ;314;186;6525
1452587789 ;313;187;6305
1452587847 ;312;186;6191
1452587904 ;313;186;6143
1452587962 ;313;186;6129
1452588020 ;311;186;6207
1452588078 ;313;186;6306
1452588135 ;312;186;6413
1452588193 ;313;186;6553
1452588251 ;311;186;6887
1452588309 ;312;186;7205
1452588366 ;313;186;7296
1452588424 ;311;186;7453
1452588481 ;312;186;7471
1452588539 ;313;186;7253
1452588597 ;312;186;6772
1452588654 ;311;186;6212
1452588712 ;312;186;6022
1452588770 ;313;186;5685
1452588827 ;313;186;5501
1452588885 ;312;186;5488
1452588943 ;313;186;5438
1452589000 ;312;186;5138
1452589058 ;312;185;4582
1452589116 ;312;186;4269
1452589173 ;311;185;4119
1452589231 ;312;185;4120
1452589288 ;313;185;3983
1452589346 ;312;185;3849
1452589404 ;312;185;3767
1452589461 ;313;185;3662
1452589519 ;312;185;3592
1452589577 ;313;185;3453
1452589634 ;312;185;3361
1452589692 ;312;185;3296
1452589750 ;312;185;3162
1452589808 ;313;185;3121
1452589865 ;312;185;3007
1452589923 ;311;185;2951
1452589981 ;312;185;2831
1452590039 ;311;185;2739
1452590097 ;312;185;2647
1452590155 ;312;185;2641
1452590212 ;312;185;2660
1452590270 ;312;185;2847
1452590328 ;312;185;2986
1452590386 ;312;185;3154
1452590444 ;311;185;3323
1452590501 ;312;185;3432
1452590559 ;312;185;3579
1452590617 ;312;185;3620
1452590675 ;312;185;3808
1452590732 ;313;185;3478
1452590790 ;311;185;3457
1452590848 ;313;185;2847
1452590905 ;312;186;2653
1452590963 ;312;185;2460
1452591021 ;312;185;2488
1452591079 ;312;185;2602
1452591136 ;312;185;2490
1452591194 ;312;185;2568
1452591252 ;312;186;2706
1452591310 ;313;186;2412
1452591367 ;313;186;2285
1452591425 ;312;186;1984
1452591483 ;313;186;2185
1452591541 ;312;185;2211
1452591598 ;313;186;1963
1452591656 ;313;186;1822
1452591714 ;312;186;1796
1452591771 ;313;186;1853
1452591829 ;313;186;1928
1452591887 ;313;186;2060
1452591944 ;312;185;1996
1452592002 ;312;185;1965
1452592060 ;311;186;1822
1452592118 ;312;186;1663
1452592175 ;313;186;1734
1452592233 ;311;185;1774
1452592291 ;311;186;1744
1452592349 ;313;185;1678
1452592406 ;312;186;1681
1452592464 ;312;186;1681
1452592522 ;312;185;1731
1452592580 ;312;185;1776
1452592637 ;313;185;1863
