timestamp;capacitance;temperature;light
;319;171;5111
;319;171;4812
;319;171;4147
;320;171;3924
;319;172;3279
;319;171;3228
;319;172;3295
;319;172;2603
;319;172;2443
;319;172;3049
;319;172;3268
;320;172;3424
;320;173;3249
;319;172;3661
;319;172;4212
;319;173;4322
;319;172;4552
;319;173;-1
;321;172;4889
;320;173;5121
;319;173;5024
;319;173;4370
;319;173;4567
;320;173;4681
;319;173;4648
;320;172;4436
;320;173;4370
;320;173;4461
;320;172;4327
;321;172;4376
;320;172;4339
;320;173;4609
;319;172;4299
;321;173;4656
;319;172;-1
;320;172;5265
;320;172;5406
;320;172;5180
;320;172;5310
;321;172;5266
;319;172;5150
;319;172;5142
;320;172;5196
;319;172;5564
;319;172;5662
;320;172;6267
;320;172;6700
;320;172;7095
;319;172;6841
;319;172;6041
;320;172;5350
;320;171;4654
;319;172;3938
;320;171;3631
;320;172;3631
;319;172;3860
;320;172;4140
;318;172;4529
;320;172;4575
;319;172;4489
;319;171;4461
;319;171;4419
;320;171;4405
;320;172;4257
;320;172;4068
;319;171;3962
;321;171;3608
;319;171;3417
;319;171;3729
;320;171;3996
;319;171;4182
;319;171;4110
;318;171;3840
;318;171;3701
;319;171;3330
;319;171;3229
;319;171;3177
;320;171;3033
;320;171;3149
;319;171;3347
;320;171;3706
;321;171;4083
;320;171;4554
;320;171;4841
;319;171;4783
;320;171;4717
;319;171;4443
;319;171;4205
;321;171;4122
;320;171;4106
;319;171;4067
;320;171;4421
;319;171;4540
;319;171;4545
;319;171;4496
;319;171;4154
;320;171;3610
;319;171;3330
;320;171;3196
;320;171;3021
;320;170;2859
;320;171;2921
;320;171;2853
;320;171;2809
;320;171;2661
;320;170;2524
;319;171;2567
;320;171;2500
;320;170;2304
;320;170;2280
;319;170;2215
;320;170;1970
;319;170;1848
;321;170;1967
;319;170;2119
;319;170;2206
;319;171;2087
;319;170;1928
;318;171;2060
;320;170;2337
;319;170;2719
;319;170;2995
;321;171;3008
;320;170;2948
;320;170;2979
;319;171;2860
;320;171;2678
;319;170;2494
;320;170;2577
;319;170;2255
;320;170;2097
;320;170;1831
;319;170;1639
;320;170;1483
;319;170;1552
;319;170;1923
;320;170;2040
;319;170;2140
;319;170;2077
;319;170;1926
;320;170;1779
;319;170;1855
;320;170;2092
;318;170;2081
;320;170;2127
;319;170;2034
;320;170;1932
;320;170;1753
;320;170;1928
;318;170;2366
;319;170;2529
;320;170;2407
;318;170;1975
;320;170;1671
;320;170;1681
;319;170;1597
;319;170;1650
;319;170;2051
;319;170;2237
;319;170;2400
;318;170;2068
;319;170;2445
;319;170;2959
;319;170;3194
;319;170;3194
;319;170;3144
;319;170;4203
;319;170;4695
;319;170;3512
;319;170;3195
;319;170;3262
;319;170;3861
;320;170;4483
;319;170;4409
;319;170;4019
;319;170;4153
;319;170;3612
;319;170;3436
;319;170;3328
;320;170;3328
;319;170;3444
;319;170;3740
;319;170;3188
;319;170;2080
;319;170;1829
;319;170;1503
;320;169;1512
;319;170;1642
;319;170;1663
;318;170;1633
;319;170;1546
;319;170;1376
;320;170;1306
;319;170;1285
;320;170;1310
;321;170;1272
;321;170;1325
;319;170;1422
;319;170;1634
;320;170;1943
;319;170;2055
;321;170;2144
;319;170;1999
;319;170;1985
;318;170;1952
;317;170;2047
;319;170;2153
;319;169;2258
;319;170;2672
;319;170;2327
;320;170;2072
;318;170;2759
;318;170;4192
;320;170;4312
;319;170;4063
;319;170;3677
;319;169;4330
;319;170;4172
;319;170;3224
;319;170;2578
;321;169;2477
;319;170;2617
;318;170;2625
;320;170;2656
;319;169;2681
;320;169;2631
;320;170;2445
;319;169;2200
;318;169;1972
;319;170;1789
;319;169;1711
;318;170;1722
;319;169;1790
;318;169;2013
;318;169;1798
;318;169;1932
;318;169;1832
;319;170;1775
;319;170;1716
;318;169;1735
;320;170;1708
;318;169;1673
;320;170;1597
;319;170;1514
;320;170;1398
;319;170;1272
;319;170;1182
;317;170;1128
;319;170;1081
;319;169;1080
;319;170;1093
;319;170;1099
;318;170;1152
;320;170;1209
;319;170;1311
;319;170;1474
;318;170;1491
;319;169;1582
;318;169;1699
;318;170;1794
;319;170;1882
;318;170;1957
;319;170;2037
;319;170;1974
;321;170;1748
;320;169;1657
;318;170;1608
;318;169;1248
;318;170;1537
;319;169;1503
;319;170;1242
;318;170;1365
;320;170;1356
;319;170;1171
;319;170;1158
;317;170;1136
;318;170;1015
;318;170;912
;319;170;869
;319;169;893
;319;170;949
;319;170;1079
;320;169;1127
;319;170;1382
;320;170;1651
;317;170;1841
;319;170;1932
;319;170;1992
;319;170;2024
;319;170;2077
;317;169;2155
;320;170;2025
;318;170;2003
;317;170;1935
;319;170;1846
;319;170;1650
;319;170;1579
;321;170;1560
;321;170;1555
;318;170;1482
;319;170;1426
;319;170;1435
;318;170;1363
;319;170;1217
;318;170;1129
;319;170;1184
;319;170;1442
;319;170;1699
;318;170;1922
;318;170;2037
;320;170;1862
;318;170;1725
;318;170;1698
;319;170;1658
;319;170;1491
;319;170;1379
;318;170;1339
;320;170;1371
;319;170;1428
;319;170;1691
;319;170;2038
;318;170;2372
;319;170;2628
;318;170;2548
;319;170;2417
;318;170;2236
;318;170;1851
;320;170;1763
;319;170;1773
;318;170;1656
;319;170;1665
;318;170;1734
;318;170;1779
;320;170;1813
;318;170;1834
;319;170;1803
;319;170;1760
;319;170;1747
;319;170;1708
